,LICENSENO,ISSDTTM,EXPDTTM,LICSTATUS,LICENSECAT,DESCRIPT,RESULT,RESULTDTTM,SUM_VIOLATIONS,SCORE,GRADE
33,18067,2012-02-15 14:11:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-03 13:39:00,21,79,C
34,27861,2012-02-10 13:28:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-03 13:40:00,12,88,B
35,18375,2012-01-25 09:51:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-01-03 13:56:00,10,90,B
36,25349,2011-12-15 10:19:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-03 14:05:00,92,8,C
37,77953,2012-01-10 09:32:00,2012-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-01-03 14:06:00,4,96,A
41,77977,2012-01-31 10:02:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-01-03 14:16:00,30,70,C
43,31589,2011-12-17 21:20:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-03 14:24:00,25,75,C
45,21518,2012-01-26 15:07:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-04 10:06:00,32,68,C
46,22972,2011-12-15 13:58:00,2014-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-01-04 10:11:00,29,71,C
47,18532,2012-01-09 10:54:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-04 10:20:00,22,78,C
48,21569,2012-03-28 15:10:00,2013-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-04 10:26:00,16,84,B
49,20876,2012-01-03 09:47:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-04 10:29:00,13,87,B
51,23860,2011-12-13 11:22:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-01-04 10:53:00,22,78,C
53,28789,2012-03-06 14:19:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-04 11:02:00,27,73,C
54,26477,2012-04-26 09:15:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-04 11:14:00,20,80,C
55,67909,2012-02-23 11:27:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_FailExt,2012-01-04 11:14:00,0,100,A
56,24492,2012-01-25 08:25:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-04 11:21:00,15,85,B
57,76498,2012-03-06 15:32:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-04 11:28:00,16,84,B
59,24284,2012-02-13 10:56:00,2013-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-01-04 11:46:00,20,80,C
60,75592,2011-12-22 11:05:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-01-04 11:46:00,16,84,B
61,30359,2011-12-09 09:12:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-01-04 12:35:00,18,82,B
62,75119,2012-03-07 12:47:00,2017-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-04 12:41:00,51,49,C
63,31442,2012-05-21 10:50:00,2011-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-04 12:42:00,32,68,C
64,25663,2012-02-14 14:58:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-04 12:55:00,20,80,C
65,22215,2012-02-15 11:30:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_FailExt,2012-01-04 12:56:00,14,86,B
67,77573,2011-12-07 13:11:00,2015-12-31 23:59:00,Inactive,RF,Retail Food,HE_Fail,2012-01-04 12:56:00,12,88,B
69,25959,2012-02-21 11:04:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-04 13:11:00,22,78,C
70,26243,2011-12-20 14:13:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-04 13:14:00,10,90,B
73,67432,2012-03-06 12:43:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-04 13:59:00,64,36,C
74,75022,2012-02-01 12:53:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-04 13:59:00,14,86,B
76,23720,2011-12-09 09:34:00,2014-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-01-04 14:11:00,4,96,A
84,20400,2012-04-27 09:22:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-05 10:29:00,16,84,B
86,73589,2012-01-31 14:25:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-05 10:42:00,8,92,B
88,23239,2012-03-07 15:23:00,2013-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-01-05 10:59:00,11,89,B
89,29363,2012-05-07 12:27:00,2013-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-05 11:01:00,14,86,B
93,23802,2012-02-13 11:15:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-05 11:17:00,28,72,C
94,28764,2012-01-05 12:58:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-05 11:25:00,21,79,C
95,31172,2012-02-14 14:54:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-05 11:36:00,12,88,B
97,20588,2012-02-13 13:59:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-05 11:47:00,24,76,C
99,23372,2012-02-14 11:18:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-05 12:01:00,91,9,C
100,75110,2011-12-22 10:22:00,2016-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-05 12:08:00,8,92,B
106,24587,2012-03-23 08:28:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-05 12:44:00,8,92,B
109,74435,2012-01-10 09:22:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-05 13:44:00,2,98,A
110,22471,2011-12-22 15:12:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-05 13:45:00,48,52,C
111,28678,2011-12-22 10:31:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-05 13:57:00,25,75,C
113,20579,2011-12-15 13:59:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-05 14:06:00,79,21,C
114,74176,2012-01-04 18:40:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-01-05 14:16:00,10,90,B
116,23003,2012-01-11 08:50:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-05 14:26:00,41,59,C
118,28769,2011-11-17 13:54:00,2010-12-31 00:00:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-05 14:41:00,6,94,A
120,68719,2012-02-22 14:56:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-05 15:15:00,35,65,C
121,19360,2012-02-13 09:41:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-06 10:00:00,4,96,A
122,24339,2012-01-05 14:36:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-06 10:18:00,12,88,B
124,25782,2012-02-21 14:48:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-06 10:27:00,34,66,C
125,21364,2012-02-16 12:53:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-06 10:32:00,10,90,B
128,19583,2012-01-12 13:08:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Hearing,2012-01-06 10:53:00,2,98,A
129,23041,2012-04-17 10:38:00,2013-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-06 10:56:00,35,65,C
130,18450,2012-01-13 10:08:00,2015-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-01-06 11:07:00,50,50,C
131,30915,2011-12-16 12:44:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-06 11:07:00,14,86,B
132,28507,2012-03-13 14:00:00,2011-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-06 11:11:00,25,75,C
133,24179,2012-01-17 16:49:00,2016-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-01-06 11:16:00,21,79,C
134,23186,2011-12-16 10:19:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-06 11:40:00,57,43,C
135,67631,2012-01-26 13:23:00,2013-12-31 23:59:00,Inactive,RF,Retail Food,HE_Fail,2012-01-06 11:59:00,30,70,C
137,74592,2012-02-15 08:29:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_FailExt,2012-01-06 12:16:00,2,98,A
140,19123,2011-12-15 11:06:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-06 12:29:00,8,92,B
141,21524,2012-01-05 10:24:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Hearing,2012-01-06 12:47:00,9,91,B
142,37241,2011-12-21 10:20:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-06 12:53:00,20,80,C
143,25349,2011-12-15 10:19:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_FailExt,2012-01-06 13:24:00,12,88,B
147,19297,2012-02-15 09:23:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-06 13:50:00,10,90,B
149,20087,2011-12-30 12:54:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-06 14:10:00,19,81,B
155,75866,2011-12-20 14:08:00,2014-12-31 23:59:00,Inactive,MFW,Mobile Food Walk On,HE_Fail,2012-01-09 09:38:00,20,80,C
156,20411,2012-01-31 14:46:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-09 10:05:00,14,86,B
157,21563,2012-01-18 18:05:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-01-09 10:06:00,15,85,B
159,21744,2012-02-24 09:12:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-09 10:19:00,13,87,B
160,25005,2012-01-18 18:19:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-01-09 10:29:00,6,94,A
161,24001,2012-01-11 08:48:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-01-09 10:35:00,68,32,C
162,24693,2012-02-15 13:55:00,2016-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-01-09 10:42:00,13,87,B
165,20237,2011-12-13 11:55:00,2015-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-01-09 10:53:00,66,34,C
166,24378,2012-02-14 12:38:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-09 10:57:00,20,80,C
167,24177,2012-01-03 11:25:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-09 11:01:00,18,82,B
168,31591,2012-01-04 18:37:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-01-09 11:06:00,25,75,C
169,23374,2012-01-03 08:24:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-01-09 11:19:00,15,85,B
172,21410,2011-12-30 09:20:00,2014-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-01-09 11:31:00,49,51,C
173,23348,2011-12-23 10:40:00,2018-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-01-09 11:34:00,19,81,B
177,32129,2012-02-23 13:32:00,2017-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-09 11:53:00,18,82,B
178,73849,2012-02-21 13:44:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-09 11:55:00,2,98,A
179,29261,2012-02-27 13:52:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-09 12:08:00,14,86,B
181,18775,2011-12-14 15:22:00,2014-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-01-09 12:18:00,8,92,B
182,18414,2012-02-15 13:41:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-09 12:20:00,40,60,C
183,29713,2011-12-08 11:14:00,2017-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-09 12:20:00,18,82,B
184,19913,2011-12-05 09:29:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-09 12:25:00,8,92,B
186,33336,2012-02-14 12:29:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-09 12:57:00,20,80,C
189,24753,2012-02-15 13:07:00,2014-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-01-09 13:37:00,24,76,C
191,21140,2011-12-19 12:05:00,2013-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-09 13:42:00,14,86,B
192,22785,2011-12-12 14:10:00,2015-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-01-09 13:43:00,17,83,B
193,19444,2012-01-09 11:24:00,2017-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-01-09 13:47:00,14,86,B
195,18091,2012-07-03 09:44:00,2012-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-01-09 14:12:00,34,66,C
196,18123,2012-01-17 13:07:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-09 14:18:00,11,89,B
197,23710,2012-02-15 11:14:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-09 14:36:00,33,67,C
199,23186,2011-12-16 10:19:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_FailExt,2012-01-09 14:42:00,2,98,A
200,67795,2012-01-17 16:37:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-01-09 14:45:00,6,94,A
201,73760,2012-01-10 09:44:00,2011-12-31 23:59:00,Inactive,RF,Retail Food,HE_OutBus,2012-01-10 08:55:00,0,100,A
202,77881,2012-02-22 10:00:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_OutBus,2012-01-10 08:55:00,0,100,A
203,18022,2012-02-10 10:46:00,2016-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-01-10 09:13:00,8,92,B
204,24289,2012-02-08 18:12:00,2017-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-10 10:00:00,15,85,B
207,68133,2011-12-23 12:23:00,2015-12-31 23:59:00,Inactive,RF,Retail Food,HE_Fail,2012-01-10 10:20:00,12,88,B
208,25671,2012-01-10 14:27:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-01-10 10:24:00,13,87,B
211,21531,2012-02-24 09:08:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-10 10:37:00,12,88,B
213,25525,2012-01-05 12:49:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-10 10:51:00,69,31,C
214,26094,2011-12-13 11:41:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-10 10:56:00,21,79,C
216,18105,2012-03-13 08:38:00,2013-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-10 11:08:00,12,88,B
217,19358,2012-01-31 15:26:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-10 11:10:00,10,90,B
218,23770,2012-02-10 10:49:00,2015-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-10 11:10:00,58,42,C
219,37619,2011-12-17 20:28:00,2015-12-31 23:59:00,Inactive,RF,Retail Food,HE_Fail,2012-01-10 11:12:00,12,88,B
224,20675,2011-12-16 11:24:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-10 11:27:00,25,75,C
225,20227,2011-12-22 14:45:00,2013-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-01-10 11:35:00,18,82,B
227,25524,2012-02-27 12:07:00,2014-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-10 11:49:00,43,57,C
229,26584,2012-02-15 14:30:00,2012-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-10 12:05:00,4,96,A
230,24233,2011-12-30 10:03:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_FailExt,2012-01-10 12:06:00,8,92,B
232,21903,2012-01-11 11:13:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-10 12:08:00,8,92,B
234,28706,2012-01-18 17:01:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-10 12:15:00,55,45,C
236,75776,2011-12-08 11:27:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_FailExt,2012-01-10 12:27:00,6,94,A
237,24563,2012-02-08 18:07:00,2015-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-10 12:30:00,38,62,C
239,22006,2012-01-18 16:24:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-10 12:38:00,21,79,C
241,37336,2012-02-15 13:42:00,2012-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-01-10 12:50:00,23,77,C
242,21490,2011-12-22 11:51:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-10 13:09:00,15,85,B
243,23247,2012-05-10 11:12:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-10 13:15:00,66,34,C
244,33233,2011-12-17 21:15:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-10 13:23:00,18,82,B
245,25484,2012-02-07 12:53:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-10 13:32:00,42,58,C
246,20700,2011-12-30 10:00:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-10 13:50:00,44,56,C
247,31950,2012-02-15 11:36:00,2013-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-10 14:06:00,67,33,C
248,24070,2012-03-08 13:17:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-01-10 14:17:00,8,92,B
250,22539,2011-12-12 10:58:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-10 14:24:00,22,78,C
253,74970,2011-12-28 10:16:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-01-10 14:37:00,8,92,B
255,21040,2012-02-14 14:11:00,2016-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-11 10:04:00,21,79,C
257,21427,2011-12-19 10:51:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-01-11 10:19:00,21,79,C
259,28789,2012-03-06 14:19:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Hearing,2012-01-11 10:33:00,10,90,B
261,29199,2012-02-14 12:20:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-11 11:00:00,25,75,C
262,26636,2012-02-06 15:04:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-11 11:02:00,7,93,B
264,24023,2011-12-06 15:08:00,2012-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-01-11 11:08:00,26,74,C
265,21236,2012-01-12 14:21:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-11 11:10:00,20,80,C
267,29041,2012-09-19 12:25:00,2014-12-31 23:59:00,Inactive,RF,Retail Food,HE_Fail,2012-01-11 11:16:00,4,96,A
269,26675,2011-12-19 11:24:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-01-11 11:33:00,12,88,B
271,23338,2012-02-01 13:05:00,2013-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_TSOP,2012-01-11 11:57:00,68,32,C
272,23587,2012-02-08 10:28:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-11 12:03:00,0,100,A
273,19099,2012-02-14 10:45:00,2011-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_OutBus,2012-01-11 12:10:00,0,100,A
277,24997,2012-04-19 14:47:00,2016-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-11 12:30:00,93,7,C
278,19253,2012-02-10 13:17:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-11 12:36:00,14,86,B
282,21206,2012-01-05 21:19:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-11 13:41:00,10,90,B
283,74514,2012-02-16 15:42:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-01-11 13:51:00,39,61,C
285,76208,2012-01-11 12:23:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-01-11 13:55:00,20,80,C
289,22405,2012-03-08 15:54:00,2013-12-31 23:59:00,Inactive,RF,Retail Food,HE_Fail,2012-01-11 14:16:00,16,84,B
290,20655,2011-12-19 11:14:00,2013-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-01-11 14:18:00,34,66,C
296,77955,2012-01-31 10:15:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-01-11 15:16:00,6,94,A
299,32937,2012-06-04 15:30:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-12 10:02:00,30,70,C
300,75187,2012-01-09 16:07:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-12 10:06:00,10,90,B
302,23338,2012-02-01 13:05:00,2013-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_FailExt,2012-01-12 10:27:00,16,84,B
305,75615,2011-12-09 14:30:00,2013-12-31 23:59:00,Inactive,RF,Retail Food,HE_Fail,2012-01-12 10:53:00,12,88,B
306,21565,2011-12-28 12:17:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-01-12 10:54:00,8,92,B
307,23857,2012-01-30 09:13:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-12 10:54:00,32,68,C
308,25946,2012-02-13 14:32:00,2015-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-12 11:01:00,10,90,B
310,74369,2012-01-26 14:18:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-12 11:19:00,31,69,C
311,75541,2012-02-06 09:11:00,2016-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-12 11:20:00,14,86,B
315,20194,2012-02-07 12:51:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-12 11:43:00,2,98,A
